Designator,Mid X,Mid Y,Rotation,Layer
C201,77.4,-66.1,270.0,bottom
C202,67.9,-65.5,90.0,bottom
C301,77.4,-76.1,270.0,bottom
C302,67.9,-75.5,90.0,bottom
C401,77.4,-86.1,270.0,bottom
C402,67.9,-85.5,90.0,bottom
C501,77.4,-96.1,270.0,bottom
C502,67.9,-95.5,90.0,bottom
C601,77.4,-106.1,270.0,bottom
C602,67.9,-105.5,90.0,bottom
C701,77.4,-116.1,270.0,bottom
C702,67.9,-115.5,90.0,bottom
D101,125.0,-82.0,180.0,bottom
D102,125.0,-116.4,180.0,bottom
D201,64.7,-63.725,270.0,top
D202,61.7,-66.265,90.0,top
D203,58.7,-63.725,270.0,top
D204,55.7,-66.265,90.0,top
D301,64.7,-73.725,270.0,top
D302,61.7,-76.265,90.0,top
D303,58.7,-73.725,270.0,top
D304,55.7,-76.265,90.0,top
D401,64.7,-83.725,270.0,top
D402,61.7,-86.265,90.0,top
D403,58.7,-83.725,270.0,top
D404,55.7,-86.265,90.0,top
D501,64.7,-93.725,270.0,top
D502,61.7,-96.265,90.0,top
D503,58.7,-93.725,270.0,top
D504,55.7,-96.265,90.0,top
D601,64.7,-103.725,270.0,top
D602,61.7,-106.265,90.0,top
D603,58.7,-103.725,270.0,top
D604,55.7,-106.265,90.0,top
D701,64.7,-113.725,270.0,top
D702,61.7,-116.265,90.0,top
D703,58.7,-113.725,270.0,top
D704,55.7,-116.265,90.0,top
J101,125.0,-73.0,90.0,bottom
J102,125.0,-108.0,90.0,bottom
L201,74.4,-66.2,270.0,bottom
L301,74.4,-76.2,270.0,bottom
L401,74.4,-86.2,270.0,bottom
L501,74.4,-96.2,270.0,bottom
L601,74.4,-106.2,270.0,bottom
L701,74.4,-116.2,270.0,bottom
R101,118.975,-72.0,0.0,bottom
R102,118.975,-74.0,0.0,bottom
R103,118.975,-76.0,0.0,bottom
R104,118.175,-107.0,0.0,bottom
R105,118.175,-111.0,0.0,bottom
R106,118.175,-109.0,0.0,bottom
R107,114.375,-72.025,180.0,bottom
R108,114.375,-74.0,180.0,bottom
R109,114.375,-76.0,180.0,bottom
R110,113.575,-106.8,180.0,bottom
R111,113.575,-111.0,180.0,bottom
R112,113.625,-108.8,180.0,bottom
R201,67.9,-68.7,270.0,bottom
R301,67.9,-78.7,270.0,bottom
R401,67.9,-88.7,270.0,bottom
R501,67.9,-98.7,270.0,bottom
R601,67.9,-108.7,270.0,bottom
R701,67.9,-118.7,270.0,bottom
RV101,107.0,-124.2,180.0,bottom
U201,70.7,-66.3,90.0,bottom
U301,70.7,-76.3,90.0,bottom
U401,70.7,-86.3,90.0,bottom
U501,70.7,-96.3,90.0,bottom
U601,70.7,-106.3,90.0,bottom
U701,70.7,-116.3,90.0,bottom
